Open,Close,High,Low,Volume
460.03,460.0,461.16,459.82,323.75786046
460.01,460.48,460.99,459.62,184.42869164
460.77,454.96,461.95,454.12,1302.85985941
454.97,455.7,455.7,453.0,2100.77659876
455.51,455.0,456.25,454.5,168.17533146
454.99,454.49,455.25,454.06,159.77468281
454.49,453.53,455.0,453.04,443.85146993
453.65,452.31,453.89,452.31,379.9689645
452.32,453.1,453.79,452.12,424.31373512
453.65,454.38,454.76,451.65,780.46101356
454.43,455.08,455.49,454.42,429.90516214
455.06,455.11,455.4,455.0,119.48189507
455.48,454.99,456.25,454.71,556.50108093
455.07,455.0,455.98,454.36,444.89694903
454.98,454.97,455.38,454.48,476.06303332
454.98,456.0,456.0,454.98,308.66705724
456.0,456.63,457.0,455.86,290.65860265
456.45,456.23,456.46,455.63,98.24902619
456.23,456.19,456.99,455.89,348.89797839
456.2,456.46,457.28,456.15,256.43293025
456.93,457.3,458.0,456.48,281.15569551
457.31,457.15,457.77,457.11,131.51044875
457.49,456.71,457.56,456.41,108.08853502
456.92,456.8,456.92,456.35,64.02429468
456.8,456.5,457.0,456.49,119.68057952
456.5,455.62,456.5,455.52,335.69918368
455.74,455.48,455.79,455.23,281.91859602
455.49,455.5,455.5,455.48,339.03922708
455.5,455.48,455.5,455.48,98.13138616
455.48,455.02,455.5,454.6,205.10039138
455.02,452.99,455.03,450.28,1280.39982473
452.99,453.3,453.4,452.2,312.17869063
453.32,453.99,454.01,453.05,58.62393979
453.91,453.74,454.42,453.42,285.42089309
453.54,453.4,453.83,453.27,501.55509529
453.4,453.39,453.4,453.0,287.49655255
453.4,453.4,453.4,453.11,522.06248152
453.4,454.46,454.59,453.4,239.2496943
454.48,454.5,454.5,454.4,65.94274635
454.41,454.39,454.49,454.0,46.40124432
454.36,454.41,454.5,454.08,406.96293938
